year,citation_count,cumulative_citations,dataset,doi,openalex_id
2012,12,12,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2013,11,23,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2014,24,47,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2015,24,71,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2016,19,90,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2017,11,101,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2018,12,113,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2019,14,127,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2020,12,139,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2021,9,148,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2022,16,164,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2023,12,176,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2024,7,183,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
2025,9,192,MIMIC-II,10.1109/CIC.2002.1166854,https://openalex.org/W2122966699
